match_id,team,shots_15,shots_30,shots_45,shots_stoppage_HT1,shots_60,shots_75,shots_90,shots_stoppage_HT2,passes_15,passes_30,passes_45,passes_stoppage_HT1,passes_60,passes_75,passes_90,passes_stoppage_HT2,subs_15,subs_30,subs_45,subs_stoppage_HT1,subs_60,subs_75,subs_90,subs_stoppage_HT2,tactical_15,tactical_30,tactical_45,tactical_stoppage_HT1,tactical_60,tactical_75,tactical_90,tactical_stoppage_HT2,fouls_won_15,fouls_won_30,fouls_won_45,fouls_won_stoppage_HT1,fouls_won_60,fouls_won_75,fouls_won_90,fouls_won_stoppage_HT2,fouls_committed_15,fouls_committed_30,fouls_committed_45,fouls_committed_stoppage_HT1,fouls_committed_60,fouls_committed_75,fouls_committed_90,fouls_committed_stoppage_HT2,goals_15,goals_30,goals_45,goals_stoppage_HT1,goals_60,goals_75,goals_90,goals_stoppage_HT2,yellow_cards_15,yellow_cards_30,yellow_cards_45,yellow_cards_stoppage_HT1,yellow_cards_60,yellow_cards_75,yellow_cards_90,yellow_cards_stoppage_HT2,yellow_cards_2_15,yellow_cards_2_30,yellow_cards_2_45,yellow_cards_2_stoppage_HT1,yellow_cards_2_60,yellow_cards_2_75,yellow_cards_2_90,yellow_cards_2_stoppage_HT2,red_cards_15,red_cards_30,red_cards_45,red_cards_stoppage_HT1,red_cards_60,red_cards_75,red_cards_90,red_cards_stoppage_HT2,shots_total_HT1,shots_total_HT2,shots_total,passes_total_HT1,passes_total_HT2,passes_total,subs_total_HT1,subs_total_HT2,subs_total,tactical_total_HT1,tactical_total_HT2,tactical_total,fouls_won_total_HT1,fouls_won_total_HT2,fouls_won_total,fouls_committed_total_HT1,fouls_committed_total_HT2,fouls_committed_total,goals_total_HT1,goals_total_HT2,goals_total,yellow_cards_total_HT1,yellow_cards_total_HT2,yellow_cards_total,yellow_cards_2_total_HT1,yellow_cards_2_total_HT2,yellow_cards_2_total,red_cards_total_HT1,red_cards_total_HT2,red_cards_total,competition,season,kick_off,goals_scored,goals_conceded,competition_stage,home,goal_difference,winner,goals_scored_HT,goals_conceded_HT,Advantage_HT,Stoppage_Time_Goals_HT,Losing_HT,Stoppage_Time_Goals,Goals_Scored_Midfielders,Goals_Scored_Forwards,Goals_Scored_Defenders,Goals_Scored_Goalkeepers,winning_percentage_groupstage,is_loss,loss_percentage_groupstage,is_draw,draw_percentage_groupstage,points,points_groupstage,goal_difference_groupstage,last_match_points,win_last_match,draw_last_match,loss_last_match,last_match_goals_knockout
3857261,England,2,2,3,2,1,0,0,8,147,89,102,52,29,0,0,211,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,6,1,0,1,0,0,9,2,2,1,1,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,18,390,240,630,0,5,5,0,2,2,7,10,17,6,5,11,0,3,3,0,0,0,0,0,0,0,0,0,International - FIFA World Cup,2022,21:00:00.000,3,0,Group Stage,0,3,1,0,0,0,0,0,0,0,3,0,0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,
3857271,England,1,2,3,1,0,0,0,6,64,86,90,191,88,0,0,327,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,4,0,5,2,0,0,5,0,2,1,0,3,0,0,3,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13,431,415,846,0,5,5,0,0,0,10,7,17,3,6,9,3,3,6,0,0,0,0,0,0,0,0,0,International - FIFA World Cup,2022,15:00:00.000,6,2,Group Stage,1,4,1,3,0,3,1,0,1,1,5,0,0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,7.0,3.0,1.0,0.0,0.0,
3857272,England,3,0,1,1,1,0,0,2,114,98,78,34,3,0,0,255,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,9,1,4,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,324,258,582,0,3,3,0,0,0,5,10,15,6,5,11,0,0,0,0,0,0,0,0,0,0,0,0,International - FIFA World Cup,2022,21:00:00.000,0,0,Group Stage,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.0,0.0,1.0,0.3333333333333333,1.0,7.0,7.0,3.0,1.0,0.0,0.0,
3869118,England,0,1,2,1,0,0,0,4,115,119,69,27,2,0,0,294,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,4,0,1,1,0,0,0,7,1,1,2,1,1,0,0,10,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,330,296,626,0,5,5,0,1,1,6,7,13,5,11,16,2,1,3,0,0,0,0,0,0,0,0,0,International - FIFA World Cup,2022,21:00:00.000,3,0,Round of 16,1,3,1,1,0,1,0,0,0,1,2,0,0,1.0,,0.0,,0.3333333333333333,,7.0,7.0,,,,,0.0
3869354,England,1,4,0,0,1,0,0,10,83,97,94,56,38,0,0,186,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,1,1,5,0,1,0,0,7,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,16,330,224,554,0,4,4,0,1,1,7,8,15,1,9,10,0,1,1,0,0,0,0,0,0,0,0,0,International - FIFA World Cup,2022,21:00:00.000,1,2,Quarter-finals,1,-1,0,0,1,-1,0,1,0,0,1,0,0,1.0,,0.0,,0.3333333333333333,,7.0,7.0,,,,,3.0
3835319,England Women's,2,2,2,2,0,0,0,8,102,60,116,30,7,0,0,253,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,3,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,16,308,260,568,0,3,3,1,1,2,4,7,11,0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,Europe - UEFA Women's Euro,2022,21:00:00.000,1,0,Group Stage,1,1,1,1,0,1,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,
3835327,England Women's,2,3,4,1,0,0,0,14,81,35,77,27,31,0,0,339,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,5,0,0,3,0,0,0,0,2,2,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,24,220,370,590,0,5,5,0,0,0,4,6,10,3,2,5,6,2,8,0,0,0,0,0,0,0,0,0,Europe - UEFA Women's Euro,2022,21:00:00.000,8,0,Group Stage,1,8,1,6,0,6,0,0,0,1,7,0,0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,3.0,1.0,0.0,0.0,
3835335,England Women's,2,6,8,1,0,0,0,11,101,75,78,39,0,0,0,353,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,2,2,2,0,0,0,0,1,1,0,0,3,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,28,293,353,646,0,5,5,0,4,4,6,1,7,4,2,6,2,2,4,0,0,0,0,0,0,0,0,0,Europe - UEFA Women's Euro,2022,21:00:00.000,5,0,Group Stage,0,5,1,2,0,2,0,0,0,1,3,0,0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,14.0,3.0,1.0,0.0,0.0,
3844384,England Women's,0,0,1,0,0,0,0,8,77,54,79,14,33,0,0,165,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,3,3,3,2,0,0,0,0,4,1,1,0,1,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9,224,198,422,0,4,4,1,3,4,8,4,12,3,8,11,0,1,1,0,0,0,0,0,0,0,0,0,Europe - UEFA Women's Euro,2022,21:00:00.000,2,1,Quarter-finals,1,1,1,0,0,0,0,0,0,2,0,0,0,1.0,,0.0,,0.0,,9.0,14.0,,,,,0.0
3845506,England Women's,2,4,3,1,1,0,0,6,95,76,92,17,15,0,0,187,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,2,4,2,0,1,0,0,6,2,1,1,0,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17,280,202,482,0,5,5,0,2,2,8,7,15,4,3,7,1,3,4,0,0,0,0,0,0,0,0,0,Europe - UEFA Women's Euro,2022,21:00:00.000,4,0,Semi-finals,1,4,1,1,0,1,0,0,0,1,1,1,0,1.0,,0.0,,0.0,,9.0,14.0,,,,,2.0
